DistanceFromTarget,ElevationDifference,GunTiltX,GunTiltY,XDifference,YDifference,Zdifference,HitOrMiss
12.87349,1.599588,59.15903,34.22291,12.19798,1.599588,3.791748,0
13.31874,1.448012,90.27212,167.9061,-12.76857,1.448012,3.500809,0
16.03959,1.496659,72.67087,158.9447,-15.60077,1.496659,3.412395,0
42.36864,1.486309,74.63644,73.78157,8.890849,1.486309,41.39861,0
42.32843,1.454168,83.8508,155.3756,-38.47161,1.454168,17.59309,0
21.86953,1.533268,66.99327,35.00261,18.47129,1.533268,11.60762,0
53.43026,1.470402,78.26615,103.8886,-14.2182,1.470402,51.48275,0
49.37745,1.481331,75.67503,21.04593,47.72405,1.481331,12.58382,0
29.21392,1.449406,87.0652,126.6247,-16.61977,1.449406,23.98198,0
15.8682,1.70681,49.33858,133.0416,-14.32464,1.70681,6.609947,0
17.19297,1.52672,67.90597,24.308,16.8857,1.52672,2.853115,0
35.42219,1.494337,73.09261,34.26846,30.85481,1.494337,17.33433,0
33.16971,1.491608,73.60146,113.5848,-12.82321,1.491608,30.55438,0
11.14663,2.004785,28.72533,61.57175,10.91103,2.004785,1.085205,0
34.06364,1.48782,74.33444,32.29447,29.90836,1.48782,16.23601,0
29.55717,1.539001,66.22142,76.78903,6.297188,1.539001,28.83753,0
37.23932,1.453421,84.23544,5.809844,37.20835,1.453421,0.4400673,0
49.34693,1.480604,75.83287,40.17365,38.66677,1.480604,30.62365,1
24.43006,1.545133,65.42137,41.35016,20.11836,1.545133,13.77286,0
36.5725,1.487731,74.35209,40.08307,27.51409,1.487731,24.04806,0
26.14698,1.561242,63.4269,111.0606,-10.51963,1.561242,23.88649,0
14.43475,1.576756,61.6294,117.258,-5.593016,1.576756,13.2134,0
25.71189,1.56926,62.4843,79.74596,2.503325,1.56926,25.54157,0
34.74974,1.461853,80.77902,75.1413,11.33585,1.461853,32.81625,0
41.63616,1.483128,75.29177,161.7382,-40.79095,1.483128,8.213943,0
37.73254,1.500061,72.07048,94.2248,-0.2651807,1.500061,37.70178,0
16.92874,1.550033,64.79913,25.22611,16.85396,1.550033,0.3519249,0
29.20192,1.521255,68.69586,48.11126,20.29585,1.521255,20.94078,0
40.9174,1.459616,81.5578,70.79182,16.61039,1.459616,37.36573,0
41.06205,1.49421,73.1158,130.0633,-28.95408,1.49421,29.07783,0
46.67616,1.460991,81.07113,75.99469,11.29858,1.460991,45.26446,0
11.10281,1.526576,67.92645,82.56871,1.323475,1.526576,10.91744,0
27.82943,1.535344,66.7111,155.3412,-27.56291,1.535344,3.522148,0
33.20711,1.523442,68.37653,91.74881,1.91564,1.523442,33.11679,0
7.866551,1.914917,34.36368,72.67317,4.348204,1.914917,6.269676,0
46.71165,1.485875,74.72434,125.4064,-28.44416,1.485875,37.02296,0
11.74568,1.699451,49.94594,87.80524,-0.1836788,1.699451,11.62063,0
46.89098,1.487944,74.31009,16.62889,46.67041,1.487944,4.292194,0
27.1409,1.455664,83.14484,7.69312,27.06145,1.455664,1.47905,0
54.70043,1.465689,79.57714,99.27837,-8.334856,1.465689,54.04183,0
46.57393,1.482212,75.48587,25.06939,43.07146,1.482212,17.65738,0
34.5309,1.488572,74.18636,88.97691,-0.6001085,1.488572,34.49358,0
44.56602,1.491255,73.66837,30.07047,40.93917,1.491255,17.54682,0
